name,latitude,longitude,empty_slots,free_bikes,banking,ebikes,last_updated,payment-terminal,renting,returning,slots,uid,timestamp,occupancy_rate
Gabriel Lamé,48.8351212784276,2.385534569621086,4,30,True,5,1970-01-01 00:00:01.697702199+00:00,True,1,1,36,12031,2023-10-19 08:13:56.981000+00:00,11.11111111111111
Las Cases - Bourgogne,48.859091104741,2.3185685276985,2,19,False,4,1970-01-01 00:00:01.697702085+00:00,False,1,1,22,7011,2023-10-19 08:13:57.905000+00:00,9.090909090909092
Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,24,0,False,0,1970-01-01 00:00:01.697702019+00:00,False,1,1,25,18111,2023-10-19 08:13:57.237000+00:00,96.0
Jonquière - Docteur Paul Brousse,48.89479981668399,2.318705212173216,22,15,True,2,1970-01-01 00:00:01.697702200+00:00,True,1,1,40,17010,2023-10-19 08:13:58.615000+00:00,55.00000000000001
Square Louis XVI,48.87320440102894,2.323658830743138,1,27,True,14,1970-01-01 00:00:01.697702131+00:00,True,1,1,29,8016,2023-10-19 08:13:58.198000+00:00,3.4482758620689653
Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,22,0,False,0,1970-01-01 00:00:01.697702055+00:00,False,1,1,22,48003,2023-10-19 08:13:57.311000+00:00,100.0
Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,6,15,False,11,1970-01-01 00:00:01.697702175+00:00,False,1,1,21,16110,2023-10-19 08:13:58.454000+00:00,28.57142857142857
Ney - Porte de Clignancourt,48.8978867,2.3458001,25,0,False,0,1970-01-01 00:00:01.697702070+00:00,False,0,0,25,18134,2023-10-19 08:13:58.425000+00:00,100.0
Gay Lussac - Saint-Jacques,48.844730256132095,2.341923944866407,8,15,False,11,1970-01-01 00:00:01.697702179+00:00,False,1,1,24,5005,2023-10-19 08:13:58.596000+00:00,33.33333333333333
Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,48,1,True,1,1970-01-01 00:00:01.697701941+00:00,True,1,1,50,43009,2023-10-19 08:13:57.224000+00:00,96.0
Place Georges Guillaumin,48.874750203956566,2.301771435325988,14,14,False,9,1970-01-01 00:00:01.697702059+00:00,False,1,1,29,8053,2023-10-19 08:13:58.496000+00:00,48.275862068965516
Bellefond - Poissonnière,48.87759897050706,2.348463758826256,15,2,True,1,1970-01-01 00:00:01.697702081+00:00,True,1,1,17,9001,2023-10-19 08:13:58.330000+00:00,88.23529411764706
Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,1,18,False,8,1970-01-01 00:00:01.697702228+00:00,False,1,1,21,17032,2023-10-19 08:13:57.249000+00:00,4.761904761904762
Alexandre Parodi - Quai de Valmy,48.87935941942529,2.366596162319184,22,0,True,0,1970-01-01 00:00:01.697701791+00:00,True,1,1,24,10162,2023-10-19 08:13:58.377000+00:00,91.66666666666666
